model,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc,predicted_positive_rate,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_lambda,reg_alpha,scale_pos_weight,scale_pos_weight_multiplier
LGBM_03_Deeper_Trees,0.6594630872483221,0.6306520603702903,0.1850408314773571,0.593452380952381,0.6678517397881997,0.2821165817770232,0.678475479072113,0.24042388191517064,0.36161073825503354,8829,4391,683,997,0.5020079999812879,300,0.05,63,5,75,0.8,0.8,2.0,0.1,7.753402217741935,1.0
LGBM_02_More_Regularized,0.6486577181208054,0.6297587529716879,0.1819645732689211,0.6053571428571428,0.6541603630862329,0.2798184069335534,0.6786585305453499,0.23786035467883998,0.3751006711409396,8648,4572,663,1017,0.6589017999940552,400,0.03,31,4,75,0.85,0.85,3.0,0.1,7.753402217741935,1.0
LGBM_04_Lower_Positive_Weight,0.730738255033557,0.628731269360997,0.2086456771614193,0.49702380952380953,0.7604387291981846,0.29391059486096444,0.6797710224407463,0.2411694967599876,0.26859060402684565,10053,3167,845,835,0.4706546000088565,350,0.04,31,4,60,0.85,0.85,2.0,0.1,6.590391885080645,0.85
LGBM_01_Balanced_Reference,0.6522147651006711,0.628645720769397,0.18232946298984035,0.5982142857142857,0.6590771558245083,0.27947719688542827,0.6806386427490814,0.23910358200944176,0.3699328859060403,8713,4507,675,1005,0.42635969998082146,300,0.05,31,4,50,0.8,0.8,1.0,0.0,7.753402217741935,1.0
LGBM_05_Higher_Positive_Weight,0.5773154362416107,0.6251467833729558,0.1666185388391568,0.6869047619047619,0.5633888048411497,0.2681849872182199,0.6797524493912542,0.24162118418906076,0.46483221476510067,7448,5772,526,1154,0.45336379995569587,350,0.04,31,4,60,0.85,0.85,2.0,0.1,8.916412550403225,1.15
