model,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc,predicted_positive_rate,true_negatives,false_positives,false_negatives,true_positives
Best Tuned XGBoost,0.6655704697986577,0.6314958396369138,0.1870380898237635,0.5875,0.6754916792738276,0.283742992669254,0.6807144433037966,0.24111963549602147,0.3541610738255034,8930,4290,693,987
Best Tuned CatBoost,0.6605369127516778,0.6304778113968734,0.18524040253447632,0.5916666666666667,0.6692889561270802,0.2821458983820607,0.678097714501837,0.23666481399432393,0.36013422818791946,8848,4372,686,994
Best Tuned HistGradientBoosting,0.6573825503355705,0.6287002017145739,0.18363199704415298,0.5916666666666667,0.665733736762481,0.2802763287748484,0.6759488239319933,0.23937431114560934,0.36328859060402685,8801,4419,686,994
Best Imbalance-Focused Model,0.6222147651006711,0.6270675743822491,0.1750863913115024,0.6333333333333333,0.6208018154311649,0.2743328606420008,0.6712971417765291,0.21361270901390828,0.4078523489932886,8207,5013,616,1064
