model,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc,negative_predictive_value,predicted_positive_rate,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,iterations_used,learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization
HGB_02_More_Regularized,0.6573825503355705,0.6287002017145739,0.18363199704415298,0.5916666666666667,0.665733736762481,0.2802763287748484,0.6759488239319933,0.23937431114560934,0.927690523874776,0.36328859060402685,8801,4419,686,994,3.7242170000099577,218,0.03,300,31,75,0.5
HGB_03_Smaller_Trees,0.6535570469798657,0.6278433650313378,0.1822992700729927,0.5946428571428571,0.6610438729198185,0.27905027932960896,0.6778124774872127,0.24079013957022707,0.9277070063694267,0.36778523489932885,8739,4481,681,999,2.8009882000042126,218,0.05,250,15,75,0.3
HGB_05_Stronger_Regularization,0.6526174496644296,0.6265344715798573,0.1814868804664723,0.5928571428571429,0.6602118003025719,0.2779017857142857,0.6760967554570997,0.23816037580341007,0.9273268168295793,0.36832214765100674,8728,4492,684,996,2.596059500006959,154,0.04,300,31,100,1.0
HGB_01_Notebook5_Reference,0.6571140939597315,0.6256911425689792,0.18220574606116774,0.5851190476190476,0.6662632375189107,0.2778798586572438,0.6766148422303868,0.23962161755953842,0.9266701735928459,0.36208053691275166,8808,4412,697,983,4.902640499989502,139,0.05,200,31,50,0.1
HGB_04_Larger_Trees,0.6720805369127517,0.6252922159786759,0.18593260188087773,0.5648809523809524,0.6857034795763994,0.2797759433962264,0.6753050932929905,0.24039779551958518,0.9253777051857901,0.3425503355704698,9065,4155,731,949,4.047034899995197,141,0.04,250,63,50,0.2
