rank,feature,mean_absolute_shap,mean_shap
119,categorical__glipizide_No,0.009355563,-0.009355563
120,categorical__diag_2_group_Other,0.009273007,0.0034316117
121,categorical__diag_2_group_Injury,0.008324384,-0.007902129
122,categorical__diag_1_group_Digestive,0.008135454,0.00088564673
123,categorical__insulin_Steady,0.007968685,0.006799368
124,categorical__diabetesMed_Yes,0.0075973286,0.007466314
125,categorical__discharge_disposition_id_3,0.0060467743,0.0021054007
126,categorical__pioglitazone_Up,0.0056420458,-0.0056420458
127,categorical__metformin_No,0.0046136877,-0.0036583648
128,categorical__race_Other,0.0038969407,-0.0037783869
129,categorical__diag_2_group_Respiratory,0.0030651605,0.00071258284
130,categorical__diag_3_group_Injury,0.0024577433,-0.0024127462
131,categorical__glyburide_No,0.0018916684,0.0017399694
132,categorical__glimepiride_No,0.0012402964,0.0012402964
133,categorical__rosiglitazone_No,0.0004718874,-0.0004718874
134,categorical__pioglitazone_No,0.00033364762,0.0002910617
135,categorical__glyburide-metformin_No,0.00011482798,0.00011482798
136,categorical__nateglinide_No,7.72287e-05,-7.72287e-05
137,categorical__repaglinide_No,3.67932e-05,3.67932e-05
138,categorical__acarbose_No,2.0140154e-05,-2.0140154e-05
139,categorical__age_[0-10),0.0,0.0
140,categorical__discharge_disposition_id_infrequent_sklearn,0.0,0.0
141,categorical__discharge_disposition_id_28,0.0,0.0
142,categorical__discharge_disposition_id_25,0.0,0.0
143,categorical__discharge_disposition_id_7,0.0,0.0
144,categorical__gender_infrequent_sklearn,0.0,0.0
145,categorical__acetohexamide_infrequent_sklearn,0.0,0.0
146,categorical__tolbutamide_No,0.0,0.0
147,categorical__tolbutamide_Steady,0.0,0.0
148,categorical__metformin-rosiglitazone_infrequent_sklearn,0.0,0.0
149,categorical__metformin-rosiglitazone_No,0.0,0.0
150,categorical__glimepiride-pioglitazone_infrequent_sklearn,0.0,0.0
151,categorical__glimepiride-pioglitazone_No,0.0,0.0
152,categorical__glipizide-metformin_Steady,0.0,0.0
153,categorical__glipizide-metformin_No,0.0,0.0
154,categorical__glyburide-metformin_infrequent_sklearn,0.0,0.0
155,categorical__glyburide-metformin_Steady,0.0,0.0
156,categorical__tolazamide_Steady,0.0,0.0
157,categorical__tolazamide_No,0.0,0.0
158,categorical__tolazamide_infrequent_sklearn,0.0,0.0
159,categorical__miglitol_No,0.0,0.0
160,categorical__miglitol_Steady,0.0,0.0
161,categorical__miglitol_infrequent_sklearn,0.0,0.0
162,categorical__troglitazone_No,0.0,0.0
163,categorical__troglitazone_infrequent_sklearn,0.0,0.0
164,categorical__rosiglitazone_Down,0.0,0.0
165,categorical__acarbose_infrequent_sklearn,0.0,0.0
166,categorical__chlorpropamide_No,0.0,0.0
167,categorical__glimepiride_Down,0.0,0.0
168,categorical__acetohexamide_No,0.0,0.0
169,categorical__repaglinide_Down,0.0,0.0
170,categorical__nateglinide_Up,0.0,0.0
171,categorical__nateglinide_infrequent_sklearn,0.0,0.0
172,categorical__chlorpropamide_infrequent_sklearn,0.0,0.0
173,categorical__chlorpropamide_Steady,0.0,0.0
174,categorical__diag_1_group_Unknown,0.0,0.0
175,categorical__admission_type_group_Other,0.0,0.0
176,categorical__metformin-pioglitazone_infrequent_sklearn,0.0,0.0
177,categorical__metformin-pioglitazone_No,0.0,0.0
178,categorical__admission_source_group_infrequent_sklearn,0.0,0.0
179,categorical__diag_2_group_Unknown,0.0,0.0
