model,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc,negative_predictive_value,predicted_positive_rate,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,scale_pos_weight,scale_pos_weight_multiplier
XGB_03_Deeper_Trees,0.6655704697986577,0.6314958396369138,0.1870380898237635,0.5875,0.6754916792738276,0.283742992669254,0.6807144433037966,0.24111963549602147,0.9279850358516055,0.3541610738255034,8930,4290,693,987,0.7263784999959171,300,0.05,5,30,0.8,0.8,2.0,0.1,7.753402217741935,1.0
XGB_01_Notebook5_Reference,0.6581208053691275,0.6306750234132987,0.1847063169560399,0.5952380952380952,0.6661119515885022,0.28192839018889204,0.6800352775376414,0.23732451806246907,0.9283154121863799,0.36335570469798656,8806,4414,680,1000,0.9622480999678373,300,0.05,4,20,0.8,0.8,1.0,0.0,7.753402217741935,1.0
XGB_02_More_Regularized,0.638993288590604,0.6300280059073554,0.17985113380647394,0.618452380952381,0.6416036308623299,0.27866434222877834,0.6772364878250847,0.23090304994774025,0.9297380247725529,0.3877181208053691,8482,4738,641,1039,0.9005264999577776,400,0.03,3,30,0.85,0.85,3.0,0.1,7.753402217741935,1.0
XGB_04_Lower_Positive_Weight,0.7306711409395973,0.6294728405734458,0.20902968321277127,0.4988095238095238,0.7601361573373676,0.2946036210230269,0.6816777654707874,0.23883790108679726,0.9226884583601138,0.26906040268456377,10049,3171,842,838,0.7421663000131957,350,0.04,4,25,0.85,0.85,2.0,0.1,6.590391885080645,0.85
XGB_05_Higher_Positive_Weight,0.5867114093959731,0.6286232079821339,0.16937389249852333,0.6827380952380953,0.5745083207261724,0.2714150496923805,0.6814874873928392,0.23616331623131312,0.9344242125984252,0.454496644295302,7595,5625,533,1147,0.8083654000074603,350,0.04,4,25,0.85,0.85,2.0,0.1,8.916412550403225,1.15
