model,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc,predicted_positive_rate,true_negatives,false_positives,false_negatives,true_positives
Ensemble_05_Weighted_All_Advanced,0.6653020134228188,0.6318641488365392,0.18713339640491958,0.5886904761904762,0.6750378214826022,0.28399138549892317,0.6819163334774152,0.24386922085356375,0.3546979865771812,8924,4296,691,989
Ensemble_03_Weighted_XGB_CAT_HGB,0.6661073825503355,0.6317984114977307,0.18732207249952554,0.5875,0.6760968229954615,0.284069650309397,0.6820399737050645,0.24360513835863976,0.3536241610738255,8938,4282,693,987
Notebook 6 Selected XGBoost,0.6655704697986577,0.6314958396369138,0.1870380898237635,0.5875,0.6754916792738276,0.283742992669254,0.6807144433037966,0.24111963549602147,0.3541610738255034,8930,4290,693,987
Ensemble_02_Equal_XGB_CAT_HGB_LGBM,0.664496644295302,0.6311504934802968,0.1865911237016053,0.5880952380952381,0.6742057488653556,0.28329749103942653,0.6815324004034291,0.24403983126035095,0.3553691275167785,8913,4307,692,988
Ensemble_06_Recall_Weighted_All,0.6643624161073826,0.6308150529500757,0.18640226628895185,0.5875,0.6741301059001513,0.28301075268817205,0.6817396080973993,0.2440927679543538,0.3553691275167785,8912,4308,693,987
Best Tuned LightGBM,0.6594630872483221,0.6306520603702903,0.1850408314773571,0.593452380952381,0.6678517397881997,0.2821165817770232,0.678475479072113,0.24042388191517064,0.36161073825503354,8829,4391,683,997
Ensemble_01_Equal_XGB_CAT_HGB,0.6649664429530201,0.630376053598444,0.18636363636363637,0.5857142857142857,0.6750378214826022,0.2827586206896552,0.6813845814422592,0.24348149020264956,0.35436241610738256,8924,4296,696,984
Ensemble_04_Weighted_XGB_CAT_LGBM,0.665234899328859,0.6287087565737339,0.185670847586469,0.5815476190476191,0.6758698940998488,0.2814750792278882,0.6822662722426338,0.24369010512501185,0.35315436241610737,8935,4285,703,977
