model,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc,negative_predictive_value,predicted_positive_rate,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds
Balanced Random Forest,0.6222147651006711,0.6270675743822491,0.1750863913115024,0.6333333333333333,0.6208018154311649,0.2743328606420008,0.6712971417765291,0.21361270901390828,0.9301824776153236,0.4078523489932886,8207,5013,616,1064,3.2026800999883562
EasyEnsemble,0.6544295302013423,0.6158647611843526,0.17706199962762986,0.5660714285714286,0.6656580937972768,0.2697489717770529,0.660266821554643,0.2065080915200356,0.9234966943016056,0.3604697986577181,8800,4420,729,951,6.89976190001471
