model,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc,negative_predictive_value,predicted_positive_rate,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,iterations,learning_rate,depth,l2_leaf_reg,positive_class_weight,positive_weight_multiplier
CAT_01_Notebook5_Reference,0.6605369127516778,0.6304778113968734,0.18524040253447632,0.5916666666666667,0.6692889561270802,0.2821458983820607,0.678097714501837,0.23666481399432393,0.9280469897209985,0.36013422818791946,8848,4372,686,994,30.139146699977573,300,0.05,4,3.0,7.753402217741935,1.0
CAT_05_Higher_Positive_Weight,0.5932214765100671,0.629434118579353,0.17075003757703291,0.6761904761904762,0.58267776096823,0.2726509060362414,0.6782414811612997,0.2327513858556661,0.9340366193767431,0.44651006711409397,7703,5517,544,1136,47.20457629999146,350,0.04,4,4.0,8.916412550403225,1.15
CAT_03_Deeper_Trees,0.6616107382550336,0.6292643721633888,0.18497001499250376,0.5875,0.6710287443267776,0.28135689851767387,0.6784397737915137,0.23727299523380146,0.9275407779171895,0.3581208053691275,8871,4349,693,987,50.50528730003862,300,0.05,5,5.0,7.753402217741935,1.0
CAT_02_More_Regularized,0.6597315436241611,0.6287249657805634,0.18423994038748137,0.5886904761904762,0.6687594553706505,0.28064699205448357,0.676993304697068,0.23297789753073847,0.9275073436844314,0.36026845637583893,8841,4379,691,989,43.746339199948125,400,0.03,4,6.0,7.753402217741935,1.0
CAT_04_Lower_Positive_Weight,0.7346979865771812,0.6203110366688278,0.20564620564620564,0.4726190476190476,0.7680030257186081,0.2865908680743548,0.6785982638138462,0.23413589532576237,0.9197391068031524,0.25912751677852347,10153,3067,886,794,47.87519460002659,350,0.04,4,4.0,6.590391885080645,0.85
