model,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc,predicted_positive_rate,true_negatives,false_positives,false_negatives,true_positives
Logistic Regression - Class Weighted,0.6697986577181209,0.62010932209495,0.18285043069694595,0.555952380952381,0.6842662632375189,0.2751915144372422,0.6693989986312225,0.2259181883594484,0.3428187919463087,9046,4174,746,934
Decision Tree - Class Weighted,0.6303355704697987,0.6165757150061235,0.17226027397260274,0.5988095238095238,0.6343419062027231,0.2675531914893617,0.6568528924429076,0.20796860450897772,0.3919463087248322,8386,4834,674,1006
Logistic Regression - Unweighted,0.8879194630872483,0.5089515344715798,0.5892857142857143,0.019642857142857142,0.9982602118003026,0.038018433179723504,0.6673499747856783,0.22586689364755524,0.0037583892617449664,13197,23,1647,33
Dummy - Most Frequent Class,0.887248322147651,0.5,0.0,0.0,1.0,0.0,0.5,0.11275167785234899,0.0,13220,0,1680,0
